symptoms,body_part,clinic_department,description,medicine_name
贫血|闭经|女性不孕|消瘦|身痛,生殖部位,"妇科,肿瘤科","    子宫颈癌在世界各地都有发生,是人体最常见的癌瘤之一，不但在女性生殖器官癌瘤中占首位，而且是女性各种恶性肿瘤中最多见的癌瘤,但其发病率有明显的地区差异。我国宫颈癌的发生，在地理分布上的特点是高发区常连接成片,各省宫颈癌相对高发区的市、县也常有互相连接现象。总的趋势是农村高于城市,山区高于平原。根据29个省、市,自治区回顾调查我国宫颈癌死亡率占总癌症死亡率的第四位，占女性癌的第二位。宫颈癌患者的平均发病年龄,各国、各地报道也有差异，我国发病年龄以40～50岁为最多,60～70岁又有一高峰出现，20岁以前少见。",宫颈癌(子宫颈癌)
心悸|闭经|女性不孕|休克|腹痛,,妇科,"    卵子在输卵管壶腹部受精,受精卵因某些原因在输卵管被阻，而在输卵管的某一部分着床、发育,发生输卵管妊娠。以壶腹部妊娠为最多，占50～70％；其次为峡部,占30～40％；伞部、间质部最少见，占1～2％","输卵管妊娠(异位妊娠,宫外孕)"
瘙痒|白带|尿频伴尿急和尿痛,生殖部位,"妇产科,妇科","    细菌性阴道病主要是由阴道加特纳菌引起的一种阴道炎,可通过性关系传播。细菌性阴道病是加特纳菌、厌氧菌等增多,而乳酸杆菌减少，阴道内生态平衡系统改变而引起的疾病。其中,健康妇女阴道中也有加特纳菌寄生。","细菌性阴道炎(阴道炎,细菌性阴道病,非特异性阴道炎)"
高血压|休克|胸痛|周围血管征,全身,"心血管内科,妇科","    原发性高血压是以动脉血压增高为主要临床表现的血管疾患,病因尚未十分明确，但从发病率来看，与年龄有关,我国资料＜20岁者，发病率为3.11％；20～29岁为3.91％；30～39岁为4.95％；40岁以后明显上升。因此,牛皮育龄妇女中，原发性高血压较少见。","妊高征(妊娠合并原发性高血压,妊娠高血压)"
代谢性酸中毒|多尿|食欲异常|昏迷|瘙痒,全身,"内科,妇科","    糖尿病是一种常见的,有一定遗传倾向而病因未完全阐明的内分泌代谢疾病。其基本的病理生理变化为胰岛素相对或绝对不足所导致的糖、蛋白质,脂肪、水及电解质等代谢失调，以“高血糖”为其特点,还有一些疾病中也有高血糖，称为症状性糖尿病或继发性糖尿病，仅占极少数,例如胰腺炎、胰切除术后、肢端肥大症,柯兴综合征等。",妊娠合并糖尿病(妊娠糖尿病)
null,,妇科,"    前庭大腺囊肿（Bartholin cyst）系因前庭大腺管阻塞,分泌物积聚而成。在急性炎症消退后腺管堵塞，分泌物不能排出,脓液逐渐转为清液而形成囊肿，有时腺腔内的粘液浓稠或先天性腺管狭窄排液不畅，也可形成囊肿,若有继发感染则形成脓肿反复发作。",前庭大腺囊肿(前庭大腺炎)
排尿困难及尿潴留|闭经|痛经|女性不孕,生殖部位,"外科,妇产科","    在胚胎发育过程中,若发生故障，可形成阴道横隔。横隔发生在阴道较高段,而且部分闭锁，可不影响性生活，并可以受孕,但在分娩时可影响胎儿娩出，宜在分娩时做横隔切开术；横隔发生在阴道较低段，可影响性生活,如完全闭锁时，其症状与处女膜闭锁大同小异。患者应及时做阴道横隔切开术",阴道横隔
心悸|心律失常|心力衰竭|紫绀|呼吸异常|心音异常,,"心血管内科,风湿科","    妊娠期心脏病可分成两大类,第一类为原先存在的心脏病，以风湿性及先天性心脏病居多，高血压性心脏病,二尖瓣脱垂和肥厚型心脏病少见。第二类系由妊娠诱发的心脏病，如妊高征心脏病,围生期心脏病。",妊娠期心脏病
尿频伴尿急和尿痛|腹泻|腹痛,,"妇产科,妇科","    女性盆腔生殖器官及其周围的结缔组织,盆腔腹膜发生炎症时，称为盆腔炎,包括子宫炎、输卵管卵巢炎、盆腔结缔组织炎及盆腔腹膜炎,可一处或几处同时发病，是妇女常见病之一。由于输卵管,卵巢统称附件，且输卵管发炎时常波及“近邻”的卵巢。因此,又有附件炎之称",盆腔炎(盆腔脓肿)
闭经|痛经|女性不孕,生殖部位,"外科,妇产科","    先天性子宫发育异常是生殖器官畸形中最常见的一种,临床意义亦比较大。两侧副中肾管在演化过程中，受到某种因素的影响和干扰,可在演化的不同阶段停止发育而形成各种发育异常的子宫。",子宫发育异常(子宫畸形)
白带|瘙痒,生殖部位,"妇产科,妇科","    外阴瘙痒是外阴各种不同病变所引起的一种症状,但也可发生于外阴完全正常者，一般多见于中年妇女，当瘙痒加重时,患者多坐卧不安，以致影响生活和工作。",外阴瘙痒
发热|腹泻|恶心与呕吐|腹痛,,"外科,妇产科","    女性盆腔生殖器官炎,常伴有各种程度的盆腔腹膜炎（pelvic peritonitis）。严重者整个盆腔腹膜发生炎症改变，极少数病例甚至可弥散至全腹,成为弥漫性腹膜炎。有时由于盆腔腹膜炎或腹腔其他脏器炎性病变，脓液积聚于腹腔的最低部位--子宫直肠窝,而形成子宫直肠窝脓肿。","盆腔腹膜炎(弥漫性腹膜炎,子宫直肠窝脓肿)"
腹痛|尿频伴尿急和尿痛|痛经|女性不孕,生殖部位,"妇产科,妇科","    正常情况下,子宫内膜覆盖于子宫体腔面，如因某种因素，使子宫内膜在身体其他部位生长,即可成为子宫内膜异位症,这种异位的内膜在组织学上不但有内膜的腺体，且有内膜间质围绕；在功能上随雌激素水平而有明显变化，即随月经周期而变化,但仅有部分受孕激素影响，能产生少量“月经”而引起种种临床现象。患者如受孕,异位内膜可有蜕膜样改变。这种异位内膜虽在其他组织或器官内生长，但有别于恶性肿瘤的浸润,本病发生的高峰在30～40岁。子宫内膜异位的实际发生率远较临床所见为多。如在因妇科其他病行剖腹探查时及对切除的子宫附件标本仔细作病理检查,可发现约20～25%患者有异位的子宫内膜。","子宫内膜异位症(子宫腺肌病,内在性子宫内膜异位症)"
排尿困难及尿潴留|闭经|女性不孕|腹痛,生殖部位,"外科,妇产科","    先天性无阴道以正常女性染色体核型,全身生长及女性第二性征发育正常，外阴正常，阴道缺失,子宫发育（仅有双角残余），输卵管细小，卵巢发育及功能正常常为特征的Rokitansky-Kustner-Hauser综合征病人为最多见,睾丸女性化（雄激素不敏感综合征）病人较为少见。很少数为真性两性畸形或性腺发育不全者。",先天性无阴道(阴道畸形)
尿频伴尿急和尿痛|发热|脓尿|阴道出血,生殖部位,"妇产科,妇科","    前庭大腺炎(bartholinitis)是前庭大腺的炎症,前庭大腺位于两侧大阴唇下1/3深部，其直径约为0.5-1.Ocm，它们的出口腺管长约1,5-2.Ocm，腺体开口处位于小阴唇内侧近处女膜处。在性交的刺激下,分泌出粘液，以资滑润。由于解剖位置的特殊性,病原体易侵入引起前庭大腺炎。",前庭大腺炎(巴氏腺炎)
斑疹|白带|溃疡|瘙痒,生殖部位,"妇产科,妇科","    外阴白色病变又叫外阴白色病损,外阴白斑或外阴营养不良。所谓外阴白斑实际上是指外阴局部神经与血管营养障碍引起的组织变性与色素改变的疾病。临床上常常把外阴局部的皮肤与粘膜变白变粗或萎缩性疾病,统称为“外阴白斑”。","外阴白色病变(外阴白色病损,外阴白斑,外阴营养不良)"
闭经|痛经|女性不孕|腹痛,,"外科,妇产科","    子宫从正常位置沿阴道下降,宫颈外口达坐骨棘水平以下，甚至子宫全部脱出于阴道口以外，称为子宫脱垂,子宫脱垂常合并有阴道前壁和后壁膨出。",子宫脱垂
