symptoms,body_part,clinic_department,description,medicine_name
多尿|少尿|脓尿|恶心与呕吐|身痛,腰部,"泌尿外科,肾内科","    由于泌尿系统的梗阻导致肾盂与肾盏扩张,其中潴留尿液，统称为肾积水,肾盂积水是由于尿路阻塞而引起的肾盂肾盏扩大伴有肾组织萎缩。尿路阻塞可发生于泌尿道的任何部位，可为单侧或双侧,阻塞的程度可为完全性或不完全性，持续一定时间后都可引起肾盂积水。尿路任何部位的管道狭窄或阻塞以及神经肌肉的正常功能紊乱,尿液通过即可出现障碍，造成尿流梗阻，梗阻以上部位因尿液排出不畅而压力逐渐增高,管腔扩大，最终导致肾脏积水，扩张,肾实质变薄、肾功能减退，若双侧梗阻,则出现尿毒症后果严重。","肾积水(肾积脓,脓肾)"
血尿|腰背痛,,"泌尿外科,肾内科","    肾结石(Renalcalculus)多数位于肾盂肾盏内,肾实质结石少见。平片显示肾区有单个或多个圆形、卵圆形或钝三角形致密影,密度高而均匀。边缘多光滑，但也有不光滑呈桑椹状",肾结石(肾石病)
发热|腰背痛,腰部,泌尿外科,"    肾皮质脓肿主要（90%）是由金黄色葡萄球菌从远处感染灶（常为皮肤感染）经血行播散引起,常见诱因有静脉注射、糖尿病和血液透析。上行感染很少引起肾皮质脓肿,开始形成小脓肿随后逐渐扩大并融合成充满脓液的厚壁炎性肿块。最后可穿破肾被膜形成肾周脓肿。大多数肾皮质脓肿累及单侧（97%）,并好发于右侧（63%）。",肾皮质脓肿
高血压|头痛|食欲异常|恶心与呕吐|身痛|腰背痛|尿频伴尿急和尿痛|发热,腰部,"泌尿外科,肾内科","    尿路感染是由细菌(极少数可由真菌,原虫、病毒)直接侵袭所引起。尿路感染分为上尿路感染和下尿路感染,上尿路感染指的是肾盂肾炎,下尿路感染包括尿道炎和膀胱炎,肾盂肾炎又分为急性肾盂肾炎和慢性肾盂肾炎,好发于女性。",尿路感染
尿失禁与遗尿,生殖部位,泌尿外科,"    由于先天性尿道上裂常与膀胱外翻并发,胚胎学可视为膀胱外翻的一部分。",尿道上裂
男子性功能障碍,生殖部位,泌尿外科,"    阴茎硬结症（Peyronie病）最早报道在1742年,常在中老年男性中发病。",阴茎硬结症
排尿困难及尿潴留,生殖部位,泌尿外科,"    尿道狭窄在男性多见,情况亦较严重。",尿道狭窄
排尿困难及尿潴留|水肿|少尿,,泌尿外科,"    通过肾脏实质的血液,经肾脏的过滤作用，将血液中新陈代谢产生的废物和一部分水分形成尿液，经肾盂,输尿管、膀胱、尿道排出体外,通常说的尿路，即指从肾盂到尿道外口这一段尿液引流和排出的途径。在这途径的任何部位的各种病变,使尿液的引流和排出受到影响，就会造成尿路的梗阻。",尿路梗阻(尿道梗阻)
囊肿,生殖部位,泌尿外科,"    脐尿管囊肿及脐尿管瘘均较罕见,但在临床手术中发现膀胱顶部正中有幕形凹隐，或下腹正中发现有未全闭锁之脐尿管段，则并非罕见,当然这种情况均不成为临床问题。",脐尿管囊肿及脐尿管瘘
发热|体型异常|胸痛|腰背痛,腰部,泌尿外科,"    肾周脓肿主要由肾内脓肿破入肾周而成,因此，致病菌与引起肾内脓肿的相同。约25%的病例,其脓肿可培养出多种致病菌。肾周筋膜通常将脓肿局限于肾周围，发病因素同肾内脓肿",肾周脓肿(肾周围脓肿)
血尿|休克|身痛,腰部,泌尿外科,"    肾脏深藏于肾窝,受到周围结构较好的保护：在肾的后面有肋骨、脊椎和背部的长肌肉，前面有腹壁和腹腔内容物,而其上面则被膈肌所罩住。正常肾脏有1～2cm的活动度。故肾脏不易受损,但从另一方面观察，后面的骨质结构也可以引起肾损伤，如下位肋骨骨折的断端可穿入肾实质；肾脏被挤于脊柱和其横突之间而受到损伤",肾损伤
