symptoms,body_part,clinic_department,description,medicine_name
咳嗽|呼吸异常|啰音|混合型酸碱平衡紊乱,胸部,呼吸内科,"    外源性过敏性肺泡炎（extrinsic allergic alveolitis）是反复吸入某些具有抗原性的有机粉尘所引起的过敏性肺泡炎,常同时累及终末细支气管。美国文献多用过敏性肺炎（hypersensitivity pneumonitis）的名称。国内报道的主要有农民肺,蔗渣工肺、蘑菇工肺、饲鹦鹉工肺和湿化器肺等,虽然其病因甚多，但病理、临床症状,体征和X线表现等极为相似。",外源性过敏性肺泡炎(过敏性肺炎)
发热|休克|紫绀|咳嗽|咳痰|胸痛,胸部,呼吸内科,"    肺炎杆菌肺炎(克雷白杆菌肺炎),克雷白杆菌肺炎是由肺炎克雷白杆菌引起的急性肺部炎症,多见于老年、营养不良、慢性酒精中毒,已有慢性支气管-肺疾病和全身衰竭的患者。",肺炎杆菌肺炎(克雷白杆菌肺炎)
咳痰|啰音|急性呼吸窘迫综合征|代谢性酸中毒|呼吸性碱中毒,胸部,呼吸内科,"    肺炎是指终末气道,肺泡和肺间质的炎症，可由疾病微生物、理化因素,免疫损伤、过敏及药物所致。细菌性肺炎是最常见的肺炎,也是最常见的感染性疾病之一。日常所讲的肺炎主要是指细菌性感染引起的肺炎，此肺炎也是最常见的一种,在抗生素应用以前，细菌性肺炎对儿童及老年人额健康威胁极大，抗生素的出现及发展曾一度使肺炎病死率明显下降,但近年来，尽管应用强有力的抗生素和有效的疫苗，肺炎总的病死率不再降低,甚至有所上升。","肺炎(肺感,下呼吸道感染,肺部感染性疾病)"
咳嗽|咳痰|呼吸异常|消瘦|胸痛,胸部,呼吸内科,"    防御功能受损病人的潜在病原体可能很多,但是根据宿主免疫缺陷的性质，X线改变和临床症状的类型，往往能判断出最可能的病原体,根据病人免疫缺陷的类型，应指出，呼吸道症状和胸部X线检查异常可能由感染以外的各种原因所致,如肺出血，肺水肿，放射性损伤,细胞毒性药物造成的肺损害以及肿瘤浸润。",免疫缺陷者肺炎
呼吸异常|呼吸性碱中毒,胸部,呼吸内科,"    脱屑性间质性肺炎(desquamative interstitialpneumonitis,DIP)是间质性肺炎一种类型，是以气腔单核细胞浸润为特征的慢性肺部炎症。DIP是一种临床及病理上独立的疾病名称,累及30~40岁的吸烟者，大多数病人有气促。其特征为肺泡腔有广泛的大量肺泡细胞脱屑和增生,对类固醇激素反应良好。Liebow等认为是独立的疾病，但Sceding等认为它可能是致纤维化肺泡炎发展中的一个阶段,其他作者在特发性间质性肺纤维化、嗜伊红细胞肉芽肿、肺蛋白沉着症,类风湿样病长期服用呋喃咀丁等病例中，发现肺脏病理变化亦与脱屑性间质性肺炎有相同之处。",脱屑性间质性肺炎(DIP)
头痛|咳嗽|咳痰|胸廓异常,胸部,呼吸内科,"    阻塞性肺气肿系终末细支气管远端部分（包括呼吸性细支气管,肺泡管、肺泡囊和肺泡）膨胀，并伴有气腔壁的破坏,近数十年来阻塞性肺气肿的发病率显著增高，这是由于大气污染、吸烟和肺部慢性感染等诱发慢性支气管炎,进一步演变为本病。本病为慢性病变，病程长,影响健康和劳动力，给社会生产和经济带来巨大损失。","阻塞性肺气肿(慢阻肺,慢性阻塞性肺气肿)"
咳嗽|咳痰|咯血,胸部,呼吸内科,"    特发性含铁血黄素沉着症（idiopathic pulmomaryhae mosiderosis,IPH）乃一种病因未明，肺内间歇出血的少见疾病。国际上报告200多例,国内报告120余例（到1994年）。肺泡内红细胞破坏后，珠蛋白被吸收,含铁血黄素沉着于肺组织引起反应。由于反复出血可继发缺铁性贫血。",特发性含铁血黄素沉着症
发热|头痛|咳嗽|胸痛,胸部,呼吸内科,"    吕弗琉于1932年首先描述本病,故又名吕弗琉综合征。其特点为游走性肺部浸润伴外周血嗜酸粒细胞计数增高，肺部症状轻微,多数仅有轻咳，病程呈自限性，常于3～4周内自行痊愈",单纯性肺嗜酸粒细胞浸润症(吕弗琉综合征)
咳嗽|咳痰|咯血|啰音,胸部,"内科,呼吸内科","    支气管扩张是指一支或多支近端支气管和中等大小支气管管壁组织破坏,造成不可逆性扩张。它是呼吸系统常见的化脓性炎症。主要致病因素为支气管的感染,阻塞和牵拉，部分有先天遗传因素。患者多有童年麻疹,百日咳或支气管肺炎等病史。随着人民生活的改善，麻疹,百日咳疫苗的预防接种，以及抗生素的应用等，本病已明显减少","支气管扩张(支气管扩张症,支扩)"
发热|咳嗽|咯血|胸痛|胸腔积液,胸部,呼吸内科,"    肺放线菌病（pulmonary actinomycosis）系由厌氧的以色列放线菌感染肺部引起的慢性化脓性肉芽肿性疾病,本菌为正常人口腔、龋齿、扁桃体隐窝中的常存菌,多数由于口腔卫生不良，吸入含有放线菌颗粒的分泌物而发病。也可来自血行播散或腹部病灶的直接蔓延,本菌在厌氧条件下琼脂培养，生长球形菌落。在组织内呈色黄颗粒,通称“硫磺颗粒”，系由菌丝缠结而成。镜检为革兰阳性的0.5～1.0μm的菌丝团,四周菌丝呈放射状排列，菌丝末端膨大呈棒状。",肺放线菌病
