symptoms,body_part,clinic_department,description,medicine_name
发热|咽痛|疲劳|头痛|腹泻|咳嗽|恶心与呕吐|腹痛|身痛|腰背痛,胸部,"呼吸内科,儿科","    流行性感冒（epidemic influenza）简称流感,是流行性感冒病毒引起的常见急性呼吸道传染病，传播力强，常呈地方性流行,当人群对新的流感病毒变异株尚缺乏免疫力时，可酿成世界性大流行，其特点为突然发生与迅速传播,1918～1919年曾发生极广泛的世界性大流行，引致2000万人死亡。流感主要临床表现为突发高热,头痛、全身酸痛、乏力及呼吸道炎症,咳嗽、咽痛等。婴幼儿和老人易并发肺部感染,防治工作不容忽视。","小儿流行性感冒(小儿感冒,小儿流感)"
黄疸,全身,"肝胆外科,消化内科","    母乳喂养的婴儿,在生后4～7天出现黄疸，2～4周达高峰(血清胆红素可超过256.6～342.0μmol/L)，一般状况良好无溶血或贫血表现,黄疸一般持续3～4周，第2个月逐渐消退，少数可延至10周才退尽,黄疸期间若停喂母乳3～4天，黄疸明显减轻，胆红素下降≥50%,若再用母乳喂养，黄疸不一定再出现，即使出现亦不会达原有程度",母乳性黄疸(母乳喂养性黄疸)
溃疡|瘙痒,皮肤,儿科,"    尿布疹是发生在裹尿布部位的一种皮肤炎性病变,也称为婴儿红臀，表现为臀部与尿布接触区域的皮肤发红、发肿,甚至出现溃烂、溃疡及感染，稍有轻微的外力或摩擦便会引起损伤","尿布疹(婴儿红臀,尿布湿疹)"
发热|恶心与呕吐|脱水,腹部,"内科,消化内科","    轮状病毒（rotavirus）性肠炎主要发生在婴幼儿,常由A组轮状病毒引起，发病高峰在秋季，故名“婴儿秋季腹泻”,B组轮状病毒可引起成人腹泻，首先在中国报道。全世界每年因轮状病毒感染导致约1.25亿婴幼儿腹泻,其中大多数发生在发展中国家。至今尚无特效药物进行治疗，只能对症补液进行纠治,因此，预防轮状病毒性肠炎特别重要。",轮状病毒性肠炎(婴儿秋季腹泻)
癫痫和癫痫样发作|高颅压综合征,全身,儿科,"    结节性硬化（tuberous sclerosis,epiloia 或Bournerille′sdisease）大多呈常染色体显性遗传，以癫痫发作、智能障碍和面痣为其三大特征,多在10岁前起病，神经胶质增生性硬化结节多发生于大脑皮层、基底节,脑室壁。",结节性硬化
肥胖症,全身,儿科,"    在医学上,把体重过大的足月新生儿称为“巨大儿”。根据我国产科学的定义，新生儿的出生体重等于或大于4000克,就可以称为巨大儿。在上个世纪80年代巨大儿仅为3%左右，随着近年来经济的快速发展,物质生活水平越来越高，新生儿的出生平均体重开始增加，巨大儿的发生率也不断上升,到本世纪初已经达到7%-8%。特别是东部沿海地区已经达到10%，个别医院竟达到12.5%",巨大儿
发热|溃疡|食欲异常|恶心与呕吐|腹痛,全身,"肿瘤科,儿科","    何杰金病（Hodgkin?s disease）又名淋巴网状细胞肉瘤是一种慢性进行性,无痛的淋巴组织肿瘤，其原发瘤多呈离心性分布，起源于一个或一组淋巴结,以原发于颈淋巴结者较多见，逐渐蔓延至邻近的淋巴结，然后侵犯脾,肝、骨髓和肺等组织。由于发病的部位不同,其临床表现多种多样。5岁以前很少发病，5岁以后逐渐增多,青春期发病率明显增多，15～34岁为高峰。发病者男性多于女性,男女比例在5～11岁为3∶1，19～19岁为1.5∶1。",何杰金病(淋巴网状细胞肉瘤)
恶心与呕吐|便秘|腹痛|腹部肿块,臀部,"肛肠外科,儿科","    肛膜闭锁（atresia of the anal membrane）又称肛门膜状闭锁,是因肛膜未破，肛门与直肠被一层薄膜完全分隔，不能排粪的先天畸形,在中医学中称为“肛门皮包”。",肛膜闭锁(肛门膜状闭锁)
视力障碍|牙齿异常|体型异常|肝肿大|脾肿大|其他症状,全身,儿科,"    郎格罕细胞组织细胞增生症(Langenhans cell histiocytosis,LCH),原称组织细胞增生症，是一组原因未明的组织细胞增殖性疾患。传统分为三种临床类型,即莱特勒西韦综合征，(Litterer-Siwe病，简称L-S病),汉-薛-柯综合征，(Hand-Schuller-Christian病，简称H-S-C病)及骨嗜酸肉芽肿(eosinphilic granuloma of bone ,EGB),病因未明，近年来研究发现多与体内免疫调节紊乱有关。","朗格汉斯细胞组织细胞增生症(组织细胞增生症,莱特勒西韦综合征,汉-薛-柯综合征,骨嗜酸肉芽肿,细胞组织细胞增生症)"
水肿|肝肿大|脾肿大|黄疸,全身,"妇产科,血液科","    母儿血型不合溶血病是孕妇和胎儿之间血型不合而产生的同族血型免疫疾病,可发病于胎儿和新生儿的早期。当胎儿从父方遗传下来的显性抗原恰为母亲所缺少时，通过妊娠,分娩，此抗原可进入母体，刺激母体产生免疫抗体,当此抗体又通过胎盘进入胎儿的血循环时，可使其红细胞凝集破坏，引起胎儿或新生儿的免疫性溶血症,这对孕妇无影响，但病儿可因严重贫血、心衰而死亡,或因大量胆红素渗入脑细胞引起核黄疸而死亡，即使幸存，其神经细胞和智力发育以及运动功能等,都将受到影响。",母儿血型不合溶血病
消瘦|急性呼吸窘迫综合征|黄疸,全身,儿科,"    小样儿一般是指出生体重比同龄正常体重低25％的小儿,胎龄在38至42周之间而体重在2500克以下者，称足月小样儿，在小样儿中最常见",足月小样儿(低体重儿)
null,头部,儿科,"    精神发育迟缓（mental retardation）又称为精神发育不全或弱智,可由多种原因引起。因为其主要症状是智力缺损，所以过去又称为""智力不足"",这是儿童期最常见的精神障碍之一，并延续终生。主要表现是在发育期内智力明显低于平均水平,并伴有适应行为的缺损。上述所谓发育期是指18岁以前，所谓智力明显低于平均水平是指智商低于正常平均值的两个标准差（即低于70）,所谓适应行为缺损是指根据其年龄及文化背景，不能符合社交的和个人的要求标准。","弱智(精神发育迟缓,精神发育不全)"
少尿|血尿|昏迷|共济失调|瘫痪|腹泻|恶心与呕吐|呕血与黑便|腹痛|黄疸,全身,"血液科,肾内科","    溶血尿毒综合征（heomlytic uremic syndrome,HUS）：是以溶血性贫血、血小板减少及急性肾功能衰竭为特征的一种综合征。主要见于婴幼儿,国内报道仅数十例，以学龄儿童多见。本症是小儿急性肾功能衰竭常见的原因之一,曾在阿根延、北美、南美洲有过小流行,本病尚无特殊疗法，死亡率曾高达77%，近年来由于综合疗法特别是早期腹膜透析的应用,病死率已下降至4.5%。",溶血尿毒综合征
