symptoms,body_part,clinic_department,description,medicine_name
视力障碍|眼球突出,眼,"外科,眼科","    近视眼(myopia)也称短视眼,因为这种眼只能看近不能看远。这种眼在休息时，从无限远处来的平行光,经过眼的屈光系折光之后，在视网膜之集合成焦点，在视网膜上则结成不清楚的象,远视力明显降低，但近视力尚正常。",近视眼(近视)
淋巴结肿大|发热|眼痛,眼,"五官科,眼科","    本病所以少见,是由于：①泪腺位于眶上缘下，受其严密保护不易遭受外伤，而且腺的排出管口向下,不易为结膜囊上午受感染而受者。②泪腺排泄系统周围的淋巴网状细胞对细菌及病毒性感染具有一定的抵抗作用。③临床上易和脸腺脓肿或眶蜂窝组织炎相混淆,因此造成误诊或漏诊机会较多。",急性泪腺炎
眼球运动障碍,眼,"五官科,眼科","    也称霰粒肿,是睑板腺出口阻塞，潴留在睑板内，对周围组织产生慢性刺激而引起的一种脂肪肉芽肿性炎症",睑板腺囊肿(霰粒肿)
视力障碍|发热|眼痛|溃疡|瘙痒|眼球运动障碍,眼,"五官科,眼科","    为睑缘皮肤,睫毛毛囊及其腺体的亚急性或慢性炎症。临床上，分为鳞屑性,溃疡性及眦角性三种类型。",睑缘炎(烂眼边)
视力障碍|发热|眼痛|恶心与呕吐,眼,"五官科,眼科","    闭角青光眼多见于女性,男女之比为1∶3，年龄在40岁以上；50～70岁最多见，双眼先后发病,一般在5年内，少数亦可相隔10年以上。在发作时常出现眼前部充血,故以往称为充血性青光眼，但充血不是本病的本质，有些人在发作时,也不出现充血现象。",急性闭角性青光眼(急性闭角性青光眼)
视力障碍|眼球运动障碍,眼,"五官科,眼科","    间歇性外斜视（intermitent exotropia）是介于外隐斜与共同性外斜视之间的一种斜视,是指视轴常常分开，最初是在看远时发生，当看远时,融合性散开幅度超过融全性集合幅度，即产生外斜，间歇性外斜视发生之前,先有外隐斜。",间歇性外斜视(间歇性外斜视)
视力障碍|红眼|泪溢|眼痛,眼,"五官科,眼科","    角膜擦伤（abrasion of the cornea）：一些外界物体特别是表面较粗糙的固体物接触或擦过角膜表面时,均可造成角膜不同程度的擦伤，如角膜上皮缺损或剥脱等。",角膜擦伤(角膜擦伤)
红眼|眼痛,眼,"五官科,眼科","    结膜干燥（conjunctival xerosis）是一种主要由于结膜组织本身的病变而发生的结膜干燥现象,原因是多种多样的。结膜干燥就可分为二型：1.上皮性结膜干燥症；2.实质性结膜干燥症。",结膜干燥症(干眼症)
视力障碍|水肿|眼球突出,眼,"五官科,眼科","    中心性浆液性脉络膜视网膜病变,多见于青年及中年男性，多为单眼发病，有自愈和复发倾向",中心性浆液性脉络膜视网膜病变(中浆病)
红眼|眼痛|脓疱|溃疡,眼,"五官科,眼科","    交感性眼炎（sympathetic ophthalmia）一眼遭受穿通性眼外伤后引起非化脓性葡萄膜炎,健眼的葡萄膜也发生同样性质的急性弥漫性的炎症，受伤眼称为刺激眼，未受伤眼称为交感眼,交感性眼炎为其总称。",交感性眼炎
斑疹|溃疡|毛细血管扩张症|头痛,头部,"五官科,眼科","    基底细胞瘤（basal cell carcinoma）亦称蚕蚀性溃疡,是皮肤癌肿最多见的一种，发病率很高，占眼睑恶性肿瘤的第一位（约50％以上）,男性比女性稍多，老年人比青年人多见，年龄高峰在50～60岁之间,一般仅在局部呈浸润性生长，很少发生转移，但处理不当,或不加处理，也可能严重破坏眼部组织，甚至侵入副鼻窦及颅内而引起死亡",基底细胞瘤(蚕蚀性溃疡)
