symptoms,body_part,clinic_department,description,medicine_name
贫血|其他症状,全身,血液科,"    在一定容积的循环血液内红细胞计数,血红蛋白量以及红细胞压积均低于正常标准者称为贫血。其中以血红蛋白最为重要，成年男性低于120g/L（12.0g/dl）,成年女性低于110g/L(11.0/dl)，一般可认为贫血。贫血是临床最常见的表现之一,然而它不是一种独立疾病，可能是一种基础的或有时是较复杂疾病的重要临床表现，一旦发现贫血,必须查明其发生原因。",贫血(血虚)
低血压|疲劳|贫血,全身,血液科,"    铁利用性贫血是体内铁的储存不能满足正常红细胞生成的需要而发生的贫血,是由于铁摄入量不足、吸收量减少、需要量增加,铁利用障碍或丢失过多所至。形态学表现为小细胞低色素性贫血。铁利用性贫血不是一种疾病,而是疾病的症状，症状与贫血程度和起病的缓急相关。",铁利用性贫血
脾肿大,全身,血液科,"    特发性高嗜酸性细胞综合征是一组原因不明的嗜酸性粒细胞增多性疾病,包括嗜酸粒细胞心内膜炎均属此组疾病。",特发性高嗜酸性细胞综合征
紫绀,全身,血液科,"    特发性血小板减少性紫癜(idiopathic thrombocytopenic purpura,ITP)是小儿最常见的出血性疾病,其特点是自发性出血，血小板减少，出血时间延长和血块收缩不良,骨髓中巨核细胞的发育受到抑制。根据北京儿童医院1955～1980年因出血性疾病住院的病儿4000例统计，其中血小板减少性紫癜1004例,占25.1%。近年的研究均支持ITP的免疫与免疫机制有关，因此认为应改称为免疫性血小板减少性紫癜(immune hrombocytopenic purpura)",特发性血小板减少性紫癜(免疫性血小板减少性紫癜)
体型异常|黄疸,全身,血液科,"    镰状细胞病(sickle cell disease)是指红细胞含有血红蛋白S(HbS)的一种常染色体显性遗传的溶血性疾病,本病有三种类型：①HbS的纯合子称为镰状细胞性贫血;②杂合子称为镰状细胞特征(sickle cell trait);③HbS与地中海贫血或其他异常Hb基因组合成的双重杂合子称为混合型镰状细胞综合征。",镰状细胞病(血红蛋白S病)
淋巴结肿大|视力障碍|疲劳|头痛|肝肿大|脾肿大,全身,血液科,"    血液中IgM异常增多即为巨球蛋白血症,本病分为原发性和继发性，原发性巨球蛋白血症的病因不明，又称为华氏巨球蛋白血症",巨球蛋白血症
其他症状,全身,血液科,"    粒细胞缺乏症时,因血中粒细胞极度减低甚至完全缺如，极易合并严重感染，病情危重,死亡率高，需积极抢救。在抗生素问世前,死亡率高达90-95%，自应用抗生素后，已下降至20%,但仍需早期诊断、早期治疗。",粒细胞缺乏症
贫血|休克,全身,血液科,"    在某些致病因子作用下,凝血因子和血小板被激活，大量促凝物质入血，凝血酶增加,进而微循环中形成广泛的微血栓。微血栓形成中消耗了大量凝血因子和血小板，继发性纤维蛋白溶解功能增强,导致患者出现出血，休克，器官功能障碍和溶血性贫血等临床表现,这种病理过程被称为DIC。",弥散性血管内凝血(DIC)
其他症状|食欲异常|消瘦|便血|发热|血尿,全身,血液科,"    再生障碍性贫血(aplastic anemia)简称再障,系多种病因引起的造血障碍，导致红骨髓总容量减少，代以脂肪髓,造血衰竭，以全血细胞减少为主要表现的一组综合征。据国内21省(市)自治区的调查,年发病率为0.74/10万人口，明显低于白血病的发病率;慢性再障发病率为0.60/10万人口，急性再障为0.14/10万人口;各年龄组均可发病,但以青壮年多见;男性发病率略高于女性。",再生障碍性贫血(再障)
咯血|贫血|鼻出血|无明显症状,全身,血液科,"    急性淋巴细胞性白血病(ALL)是一种进行性恶性疾病,其特征为大量的类似于淋巴母细胞的未成熟白细胞。这些细胞可在血液、骨髓,淋巴结、脾脏和其它器官中发现。急性淋巴细胞性白血病占儿童急性白血病的80%,发病率高峰在3岁至7岁之间。ALL也可发生于成年人，占所有成年人白血病的20%","急性淋巴细胞性白血病(急淋,ALL,急性白血病)"
无明显症状|其他症状|贫血|猝死|心音异常,全身,血液科,"    溶血性贫血系指红细胞破坏加速,而骨髓造血功能代偿不足时发生的一类贫血。如要骨髓能够增加红细胞生成，足以代偿红细胞的生存期缩短,则不会发生贫血，这种状态称为代偿性溶血性疾病。",溶血性贫血
疲劳|消瘦|贫血,全身,血液科,"    慢性疾病性贫血是指在一些慢性感染如肺结核,肺脓肿等、炎症如类风湿性关节炎、系统性红斑狼疮及炎性肠病等,肿瘤如乳腺癌、恶性淋巴瘤等及外科创伤持续1-2个月后所伴发的贫血，其特征为血清铁低,总铁结合力亦低、而贮存铁增加的贫血。",慢性疾病的贫血
淋巴结肿大|发热|瘙痒|出汗异常|疲劳|消瘦|肝肿大|脾肿大,全身,血液科,"    慢淋是一种B淋巴细胞的克隆性恶性疾病(T淋巴细胞少见),本病常为无痛性的，伴有缓慢进展的成熟的小淋巴细胞的进行性蓄积，这种细胞的免疫机能不全,并且对抗原性刺激反应低下。免疫机能不全与异常的B细胞不适当的抗体形成有关，这些抗体对机体的免疫功能有抑制作用,慢淋的进展期可导致骨髓功能衰竭和直接的组织器官浸润。","慢性淋巴细胞性白血病(慢淋,CLL)"
发热|溃疡|身痛,全身,血液科,"    当中性白(粒)细胞低于0.5X109/L时,称中性白(粒)细胞减少症。中性白(粒)细胞在机体防御中起着清除衰亡组织细胞和吞噬杀死病原微生物的重要作用，其数量减少会明显降低机体防御机能而导致感染,严重者可引起死亡。中性白(粒)细胞减少的临床症状随其减少的程度和原因不同而异。",中性白(粒)细胞减少症
