symptoms,body_part,clinic_department,description,medicine_name
发热|身痛|关节疼痛,全身,风湿科,"    痛风性关节炎是由于尿酸盐沉积在关节囊,滑囊、软骨、骨质和其他组织中而引起病损及炎性反应,它多有遗传因素和家族因素，好发于40岁以上的男性，多见于拇趾的跖趾关节,也可发生于其他较大关节，尤其是踝部与足部关节。主要表现为关节的剧痛,常常为单侧性突然发生。关节周围组织有明显肿胀、发热,发红和压痛。作血尿酸检查可以确诊。应用药物治疗有较好的疗效",痛风性关节炎
null,全身,风湿科,"纤维肌痛综合症(fibromyalgia syndrome,FS)是一种非关节性风湿病,临床表现为肌肉骨骼系统多处疼痛与发僵，并在特殊部位有压痛点。纤维肌痛综合征可继发于外伤,各种风湿病，如骨性关节炎(osteoarthritis,OA)、类风湿关节炎(rheumatoid arthritis,RA)及各种非风湿病(如甲状腺功能低下,恶性肿瘤)等。这一类纤维肌痛综合征被称为继发性纤维肌痛综合征(secondary fibromyalgia syndromen)，如不伴有其他疾患,则称为原发性纤维肌痛综合症(primary fibromyagia syndrome)。",纤维肌痛综合症(非关节性风湿病)
发热|斑疹|脓疱|溃疡|毛发异常|呼吸异常,全身,风湿科,"    原发性免疫缺陷病(primary immunodeficiency diseases,PID)是一组免疫器官、组织、细胞或分子缺陷,导致机体免疫功能不全的疾病。",原发性免疫缺陷病(免疫缺陷病)
皮肤硬化,全身,风湿科,"    嗜酸性筋膜炎(eosinophilic fasciitis)是主要以筋膜发生弥漫性肿胀,硬化为特征的疾病，故有人主张采用“硬化性筋膜炎”一名。本病在临床上较少见",嗜酸性筋膜炎(硬化性筋膜炎)
发热|消瘦|心脏杂音|关节疼痛,全身,风湿科,"    风湿热(rheumatic fever) 是儿科常见的危害学龄期儿童生命和健康的主要疾病之一,其病变是全身性结缔组织的非化脓性炎症，主要侵犯心脏和关节，其它器官如脑,皮肤、浆膜、血管等均可受累,但以心脏损害最为严重且多见。有时首次发作即可使心脏受损，反复发作可使三分之二的病儿遗留慢性心瓣膜病",小儿风湿热
发热|瘙痒,全身,风湿科,"    物理性变应性是一种由寒冷,日光、热或轻微创伤等物理刺激所引起的变态反应症状和体征。",物理性变应性
发热|丘疹,全身,"消化内科,风湿科","    食物变应性是指由于进食一种特殊食物后会反复发生症状,而此种食物已证明有免疫根据(对食物的IgE抗体).食物不耐受是一种复杂的变态反应疾病,是人体免疫系统对进入体内的某些食物产生的过度保护性免疫反应，可引起全身各系统的慢性症状。",食物变应性和不耐受性
发热|急性肾衰竭|慢性肾衰竭|咳嗽|咳痰|关节疼痛,全身,风湿科,"    Ⅲ型超敏反应的抗体虽与Ⅱ型超敏反应中的抗体相似,主要也是IgG和IgM类抗体，但所不同之处是这些抗体与相应可溶性抗原异性结合形成抗原抗体复合物(免疫复合物)，并在一定条件下沉积在肾小球基底膜,血管壁、皮肤或滑膜等组织中。免疫复合物激活性补体系统,产生过敏毒素和吸引中性粒细胞在局部浸润;使血小板聚合，释放出血管活性胺或形成血栓;激活Mφ使释放出IL-1等细胞因子。结果引起以充血水肿,局部坏死和中性粒细胞浸润为特征的炎症性反应和组织损伤，此型超敏反应亦称免疫复合物介导的超敏反应。",Ⅲ型超敏反应性疾病
疱疹|鳞屑|消瘦|其他症状,全身,风湿科,"    慢性皮肤粘膜念珠菌病(chronic mucocutaneous candidiasis)是皮肤,粘膜、毛发和指甲持续性念珠菌感染的细菌免疫缺陷病。本病与其他细胞免疫缺陷病不同,仅对白色念珠菌和少数抗原相关性真菌缺乏反应，而对病毒、细菌和其他微生物的免疫则正常,本病系一些疾病的综合征，可合并各种内分泌器官功能减退、肿瘤和其他慢性衰竭性疾病,也可在应用免疫抑制剂过程中发生。",慢性皮肤粘膜念珠菌病
结节|溃疡|皮肤硬化|疲劳|黏膜损害|感觉障碍|消瘦|关节疼痛|其他症状,全身,风湿科,"    重叠综合征(Overlap syndrome)指的是患有两种或两种以上结缔组织病间病情的重叠,亦称为重叠结缔组织病。这种重叠可同时发生，好病人在同一时间符合两种或两种以上结缔组织病的诊断;亦可在不同时期先后发生另一种结缔组织病;或先有某一种结缔组织病,以后移行转变为另一种CTD。这种转变可呈连续性或间隔一定时间后进行。OS通常发生于6个弥漫性CTD,即SLE、RA、DM/PM,PSS、结节性多动脉炎(PN)及风湿热(RF)的重叠，亦可由6个CTD与近缘病如白塞病,干燥综合征、脂膜炎相重叠，此外尚可与其他自身免疫病如慢性甲状胆状腺炎,自身免疫性溶血性贫血等重叠。",重叠综合征(重叠结缔组织病)
排尿困难及尿潴留|关节疼痛,全身,风湿科,"    Reiter综合征以无菌性尿道炎,眼结膜炎和多发性关节炎为基本特征，可瘵有皮肚皮肤粘膜及其它器官病变，发病前常有发热,多见于成年男性。",Reiter综合征
脊柱和四肢畸形,全身,风湿科,"    强直性脊柱炎(ankylosing sporidylitis;AS;)是一种主要侵犯脊柱,并可不同程度的累及骶髂关节和周围关节的慢性进行性炎性疾病。本病又名Marie-strümpell病、Von Bechterew病,类风湿性脊柱炎、畸形性脊柱炎、类风湿中心型等,现都称AS。AS的特点为腰、颈,胸段脊柱关节和韧带以及骶髂关节的炎症和骨化，髋关节常常受累，其它周围关节也可出现炎症,本病一般类风湿因子呈阴性，故与Reiter综合征、牛皮癣关节炎,肠病性关节炎等统属血清阴性脊柱病。","强直性脊柱炎(类风湿性脊柱炎,畸形性脊柱炎,类风湿中心型)"
其他症状|水肿|消瘦,全身,风湿科,"    遗传性血管性水肿(hereditary angioedema)系一具有家族史,反复发生软组织急性局限性水肿的疾病。属常染色体显性遗传，其发作与轻微外伤,情绪波动、感染、气温骤变以及月经,雌激素型避孕药等有关。",遗传性血管性水肿(血管性水肿)
共济失调|步态异常|其他症状,头部,"神经内科,风湿科","    小舞蹈病又称风湿性舞蹈病,属于原因不明性的一种脑病。常为急性风湿病的表现之一。本病多见于5～15岁的儿童,多系亚急性起病，也有因情绪激动而骤然发病。表现为极快的不规则跳动和无意义的舞蹈样动作,肌张力降低和肌无力等，且常伴心理障碍。现代医学除了对症处理外,尚无特殊疗法。",小舞蹈病(风湿性舞蹈病，Sydenham舞蹈病)
发热|吞咽困难|听力减退|头痛|眩晕|消瘦|其他症状,全身,风湿科,"    巨细胞动脉炎(GCA)过去称称颅动脉炎,颞动脉炎、肉芽肿性动脉炎，后认识到体内任何较大动脉均可受累,而以其病理特征命名为巨细胞动脉炎。",巨细胞动脉炎
血尿|血红蛋白尿|脓尿|乳糜尿|蛋白尿|肾病综合征|急性肾衰竭|慢性肾衰竭,腰部,"风湿科,肾内科","    类风湿性关节炎肾损害是由类风湿性关节炎引起的急,慢性间质性肾炎、肾淀粉样变、肾脏坏死性血管炎及免疫复合物性肾炎,并伴有相应临床表现的一组疾病。",类风湿性关节炎肾损害
关节疼痛,全身,风湿科,"    银屑病性关节炎(psoriasis arthritsi,PA)又名关节病型银屑病(arthropathic psoriasis),是一种与银屑病相关的炎性关节病。本病病程迁延，易复发,晚期形成关节强直，导致残废。银屑病在关节炎患者中较为常见,比普通人群多2～3倍，而关节炎在银屑病患者中也较普遍。Leczinsky在10年调查中发现,银屑病中关节炎的发生率为6.8%，大大超过非银屑病人群中关节炎的发生率。女性比男性更易罹患,据Nobol报道，PA约占银屑病病人的1%。由于本病和Reiter综合证,强直性脊椎炎均与HLA-B27有关，且类风湿因子阴性，临床表现又有相似之处,因此被归入血清阴性脊椎关节病。","银屑病关节炎(银屑病性关节炎,关节病型银屑病)"
