symptoms,body_part,clinic_department,description,medicine_name
发热|脓疱|囊肿|头痛,四肢,"外伤科,外科","　　脓性指头炎是手指末节掌面的皮下经组织化脓性感染,多由刺伤引起。致病菌多为金黄色葡萄球菌。",脓性指头炎
头痛|眩晕|晕厥|昏迷|癫痫和癫痫样发作|高颅压综合征|其他症状,头,"脑外科,外伤科",　　头皮血肿多因钝器伤及头皮所致,头皮血肿
紫绀|呼吸异常|胸痛|胸廓异常|气胸,胸部,"心胸外科,外伤科","    胸膜腔内积气称为气胸,创伤性气胸的发生率在钝性伤中约占15%～50%，在穿透性伤中约占30%～87.6%。气胸中空气在绝大多数病例来源于肺被肋骨骨折断端刺破（表浅者称肺破裂,深达细支气管者称肺裂伤），亦可由于暴力作用引起的支气管或肺组织挫裂伤，或因气道内压力急剧升高而引起的支气管或肺破裂,锐器伤或火器伤穿通胸壁，伤及肺、支气管和气管或食管,亦可引起气胸，且多为血气胸或脓气胸。偶尔在闭合性或穿透性膈肌破裂时伴有胃破裂而引起脓气胸",创伤性气胸(开放性气胸)
休克|咳嗽|咯血|呼吸异常|胸痛|肺水肿,胸部,"心胸外科,外伤科","    由于高压锅炉,化学药品或瓦斯爆炸，在战时，由于烈性炸药或核爆炸,瞬间可释放出巨大的能量，使爆心处的压力和温度急剧增高，迅速向四周传播,从而形成一种超声速的高压波，即冲击波。空气冲击波或水下冲击波的连续超压－负压,作用于人体，使胸腹部急剧的压缩和扩张，发生一系列血液动力学变化,造成心、肺和血管损伤；体内气体在超压－负压作用下产生内爆效应，使含气组织（如肺泡）发生损伤；压力波透过不同密度组织时在界面上发生反射引起碎裂效应,造成损伤；以及密度不同组织受相同的压力波作用后，因惯性作用不同而速度发生差异，在连接部位发生撕裂和出血,以上冲击波本身直接作用于人体所造成的损伤称为爆震伤。",肺爆震伤
咽痛|口腔痛|咽炎、舌炎、龈炎|心律失常|头痛|呼吸异常|恶心与呕吐|肺水肿|呕血与黑便|腹痛,全身,"外伤科,外科","    强碱(strong alkalines)包括氢氧化钠,氢氧化钾、次氯酸钠、氧化钠,氧化钾以及腐蚀作用较弱的碳酸钠、碳酸钾、氢氧化钙,氧化钙、氢氧化铵等。漂白粉内含3%～6%次氯酸钾,强碱类化合物用途甚广，亦含于日常所用的去污剂、沟渠清洁剂,擦亮剂、去除油漆剂及烫发剂中。小儿中毒大多由于误服所致",强碱类中毒(强碱中毒)
淋巴结肿大|发热|身痛,头,外伤科,"    头皮感染（Scalp infection）多为伤后初期处理不当所致,常在皮下组织层发生感染。若处理不善，病人头皮可发生坏死,或向深部侵蚀引起颅骨骨髓炎、硬膜外积脓，甚至导致硬膜下积液和脑脓肿",头皮感染
身痛,腰部,外伤科,"    慢性单纯外伤性脊椎病性腰腿痛,除由急性外伤性腰背疼或脊柱骨折后遗者外，多由于异常体位连续弯腰或过度疲劳，腰骶或骶髂关节的韧带或骨质产生一种慢性累积性劳损,造成韧带慢性破裂、磨损或水肿，严重者关节突发生疲劳骨折以致引起慢性腰腿痛,这些病人多无明显的外伤史，仅由于长期体位不适或过劳，使腰背肌及韧带处于被牵拉状态所引起",慢性单纯外伤性腰腿痛
休克|紫绀|昏迷|感觉障碍|呼吸异常|胸痛|气胸|猝死,胸部,"心胸外科,外伤科","    创伤性窒息是闭合性胸部伤中一种较为少见的综合病征,其发生率约占胸部伤的2％～8％。",创伤性窒息(创伤性发绀)
休克|晕厥|昏迷|咳嗽|体型异常|呼吸异常|胸痛|胸廓异常|猝死,胸部,"骨科,外伤科","    肋骨骨折在胸部伤中约占61%～90%,不同的外界暴力作用方式所造成的肋骨骨折病变可具有不同的特点：作用于胸部局限部位的直接暴力所引起的肋骨骨折，断端向内移位，可刺破肋间血管,胸膜和肺，产生血胸或(和)气胸。间接暴力如胸部受到前后挤压时,骨折多在肋骨中段，断端向外移位，刺伤胸壁软组织,产生胸壁血肿。枪弹伤或弹片伤所致肋骨骨折常为粉碎性骨折。在儿童,肋骨富有弹性，不易折断，而在成人,尤其是老年人，肋骨弹性减弱，容易骨折",肋骨骨折
疲劳|食欲异常|恶心与呕吐|胃肠气胀,全身,外伤科,"    重症甲状旁腺功能亢进症的病人受到应激后,症状可加剧，发生甲状旁腺危象(parathyroidstorm)，表现乏力,厌食、恶心、呕吐,多尿、失水、虚脱以及神志改变,甚而昏迷。",甲状旁腺危象(重症甲状旁腺功能亢进症)
