symptoms,body_part,clinic_department,description,medicine_name
腹泻|便秘|便血,臀部,"肛肠外科,肿瘤科","    直肠癌是胃肠道中常见的恶性肿瘤发病率仅次于胃和食管癌是大肠癌的最常见部分(占60%左右)绝大多数基因病人在40岁以上30岁以下者约占15%男性较多见男女之比为2-3：1,直肠癌是一种生活方式病。目前，它已在癌症排行榜中跃居第二位了,所以饮食，生活方式，是癌症的祸根",直肠癌
结节|色素异常|囊肿,口,"外科,神经内科","    神经纤维瘤是由神经鞘细胞及纤维母细胞两种主要成份组成的良性肿瘤,分单发及多发两种型式，多发性神经纤维瘤又称神经纤维瘤病，本瘤可发生于周围神经的任何部位,口腔颌面部发病者常发于三叉神经及面神经，通常位于面部、颞部,眼部、颈部、舌部及腭部",颌面部神经纤维瘤(神经纤维瘤病)
淋巴结肿大|发热|瘙痒|出汗异常|消瘦,全身,"血液科,肿瘤科","    霍奇金病(Hodgkin?s disease)又名淋巴网状细胞肉瘤是一种慢性进行性,无痛的淋巴组织肿瘤，其原发瘤多呈离心性分布，起源于一个或一组淋巴结,以原发于颈淋巴结者较多见，逐渐蔓延至邻近的淋巴结，然后侵犯脾,肝、骨髓和肺等组织。由于发病的部位不同,其临床表现多种多样。5岁以前很少发病，5岁以后逐渐增多,青春期发病率明显增多，15～34岁为高峰。发病者男性多于女性,男女比例在5～11岁为3∶1，19～19岁为1.5∶1。","霍奇金淋巴瘤(霍奇金病,何杰金病,淋巴网状细胞肉瘤)"
牙齿异常|结节,头部,"骨科,外科","    骨巨细胞瘤主要由多核巨细胞和较小的梭形或圆形的间质细胞组成,巨细胞很大，含核较多，有时可从几十到百余个,梭形或圆形间质细胞的形态。分布和排列是确定巨细胞性质的主要依据，一般将此瘤分为三级,一级属于良性，二级属于潜在恶性，三级属于恶性,肉眼观巨细胞瘤为易出血的肉芽组织，无包膜，由于易出血和坏死,因血红蛋白的变化可使肿瘤呈红棕色或绿色，血肿纤维化则使肿瘤呈灰白色，瘤组织坏死,可使肿瘤呈黄色或形成假囊肿，囊内可能含有胶状或棕色液体，在肿瘤进展过程中,骨破坏和再生交替反复，于是皮质骨向外扩张变薄，最后为肿瘤所穿破",颌面部骨巨细胞瘤(骨巨细胞瘤)
"消瘦,腹水,肝肿大,脾肿大,黄疸",腹部,肿瘤科,原发性肝癌（primary carcinoma of the liver）是我国常见恶性肿瘤之一。死亡率高，在恶性肿瘤死亡顺位中仅次于胃、食道而居第三位，在部份地区的农村中则占第二位，仅次于胃癌。我国每年死于肝癌约11万人，占全世界肝癌死亡人数的45％。由于依靠血清甲胎蛋白（AFP）检测结合超声显像对高危人群的监测，使肝癌在亚临床阶段即可和出诊断，早期切除的远期效果尤为显著。加之积极综合治疗，已便肝癌的五年生存率有了显著提高。,原发性肝癌(肝癌)
淋巴结肿大|结节|溃疡|瘙痒,臀部,肿瘤科,"    肛门癌多发生在肛管或肛缘皮肤上,多为鳞状上皮癌，也有少数为基底细胞癌。生长在齿线的是肛管癌;生长在齿线下方是肛门周围癌或肛门缘癌,肛管癌多见于女性，肛门周围癌男性多见。鳞状细胞癌多发生于肛管及肛门周围,由肛管和肛门周围鳞状上皮发生，常因肛瘘、痔,手术瘢痕、湿疣、化脓性汗腺炎及潜毛囊肿长期慢性刺激损伤引起",肛门周围癌(肛门缘癌)
发热|身痛,全身,肿瘤科,"    恶性纤维组织细胞瘤（malignant fibrous histiotoma,MFH）多发生于深层软组织,首先由O’Briea和Stoat所报道，原发于骨内者甚为少见。1972年Feldman和Norman提出将此瘤作为一种独立的骨肿瘤类型,以前常将骨内MFH误认为骨肉瘤、纤维肉瘤、骨巨细胞瘤或骨转移性癌等",骨的恶性纤维组织细胞瘤
食欲异常|腹泻|消瘦|胃肠气胀|腹痛|肝肿大|腹部肿块|黄疸,腹部,"肝胆外科,消化内科","    乏特氏壶腹周围癌,系指乏特氏壶腹、胆总管下端、胰管开口处,十二指肠乳头及其附近的十二指肠粘膜等处的癌肿。这些来源不同的肿瘤，由于其所在的特殊解剖部位,有着相同的临床表现，手术时也难以将其截然分开，故常作为一个类型,统称为壶腹周围癌。",壶腹周围癌(乏特氏壶腹周围癌)
发热|身痛|关节疼痛,全身,"骨科,肿瘤科","    骨巨细胞瘤常称良性骨巨细胞瘤或破骨细胞瘤,它是比较多见的原发骨组织肿瘤之一。其主要组织成分为类似破骨细胞的巨细胞和比较瘦小的梭形或圆形的基质细胞。近十数年来对它的认识更深入了一步,它是一种局部破坏性较大、生长活跃的肿瘤，经过搔刮治疗以后,有相当数量的病例可能复发，甚而恶变，并发生远处转移,部分病例因局部感染、外伤或经久不治而发生恶变，另有一小部分病例,其组织形态一开始就有趋向恶性的征象，或基本上是一种含有多量巨细胞的恶性巨细胞瘤。因此,把它们一律称为良性骨巨细胞瘤不符实际，而且给大以不应有的假安全感。",骨巨细胞瘤
发热|身痛,全身,肿瘤科,"    骨化性纤维瘤是先天性结构不良,由纤维性和骨样物质组成，几乎只发生于胫骨，有时可发生于腓骨,本病常合并胫骨前弯，其病程是一错构瘤的病程。本病是与纤维结构不良不同的肿瘤",骨化性纤维瘤
结节|囊肿,全身,"外科,肿瘤科","　　脂肪瘤（lipoma）是起源于脂肪组织的一种良性肿瘤,瘤周有一层薄的结缔组织包囊，内有被结缔组织束分成叶状成群的正常脂肪细胞。有的脂肪瘤在结构上除大量脂肪组织外,还含有较多结缔组织或血管，即形成复杂的脂肪瘤。全身任何部位的脂肪组织均可发生,但很少发生恶变。临床上常见发生于肩、背和臀部的皮肤下面",脂肪瘤
发热|身痛,全身,"骨科,肿瘤科","    骨膜性软骨瘤是软骨瘤的一种,发生于骨表面、骨膜下、肌腱和韧带附着处的软骨瘤,可见于从儿童到成人的各个年龄组，位于长骨的骨干或干骺端区域，好发于肱骨近端",骨膜性软骨瘤(骨皮质旁软骨瘤)
发热|呼吸异常|胸痛|胸腔积液|肺水肿,胸部,"心胸外科,外科","    转移性胸膜肿瘤常引起渗出性恶性胸水,提示病人已有全身转移性疾病，预后极差。",转移性胸膜肿瘤
发热|身痛|关节疼痛,全身,"骨科,肿瘤科","    骨软骨瘤又名外生骨疣,也属软骨肿瘤，最为常见，有单发性及多发性两种,单发性多见。多发性较少见，常合并骨骼发育异常,最多发生于膝关节及踝关节附近，常为二侧对称性并有遗传性，又称遗传性多发性外生骨疣,发生于关节附近骨端的叫做骺生骨软骨瘤，位于趾末节趾骨的叫做甲下骨疣。骨软骨瘤由纤维组织包膜,软骨帽和骨性基底构成。其基底可为细长呈蒂状，也可为宽广的基底,在生长年龄内，骨软骨瘤本身有其自己的骨骺板。所以到生长年龄结束时,骨软骨瘤的生长也停止。在骨软骨瘤与周围组织之间，可因磨擦而产生滑囊,约有1％的单发性骨软骨瘤可恶变，但多发性骨软骨瘤发生恶变为软骨肉瘤者为10～20％。","骨软骨瘤(外生骨疣,软骨肿瘤)"
发热|身痛,全身,肿瘤科,"    脂肪肉瘤是恶性软组织肉瘤中较常见的一种,多见于30～70岁患者，以50岁左右发病最多。男性多于女性,四肢特别是大腿、臀部好发，上肢,腹膜后、头、颈块,直径3～10cm多见，后腹膜巨大者直径可达20cm以上，肿瘤常为结节状,或分叶状，质软或稍硬。",脂肪肉瘤
淋巴结肿大|结节|囊肿,头部,"外科,内分泌科","    淋巴管瘤是淋巴管发育畸形所形成的一种良性肿瘤,常见儿童及青少年，好发于舌、唇,颊及颈部，按其临床表现及组织结构可分为毛细管型、海绵状型及囊肿型三类,毛细管型由淋巴管扩张而成，此扩张的淋巴管内含有淋巴液；海绵型者淋巴管扩张更为严重呈多个囊腔状；囊肿型淋巴管瘤则由扩张更加严重的淋巴管构成，其扩张形成多房性较大囊腔,囊腔内充满淋巴液，故此型又称囊状水瘤。",颌面部淋巴管瘤(囊状水瘤)
发热|咳嗽|咯血|呼吸异常|胸痛,胸部,"心胸外科,外科","    原发性纵隔肿瘤（primary mediastinal tumor）包括位于纵隔内各种组织和结构所产生的肿瘤和囊肿,原发性纵隔肿瘤以胸腺瘤最为常见，其次为神经源性肿瘤和畸胎瘤：其他如囊肿，胸内甲状腺,支气管囊肿相对少见。这些肿瘤多数为良性，但有恶变可能",原发性纵隔肿瘤
吞咽困难|咽部异物感|神经痛|呼吸异常,口,"外科,神经内科","    咽部神经鞘膜瘤系发于外周颅神经,交感神经及其分支的肿瘤，好发于咽后壁及侧壁，组织学上神经鞘膜瘤可分为神经纤维瘤及神经鞘瘤(雪旺氏病)",咽部神经鞘膜瘤
淋巴结肿大|结节|溃疡,全身,"内分泌科,肿瘤科","    粘液表皮样癌(mucoepidermoid carcinoma)也称粘液表皮样肿瘤(mucoepidermoid tumor),在涎腺肿瘤中占5%～10%。Stewart等根据其临床特点和组织学特征将其称为粘液表皮样肿瘤，并又分为良性及恶性两类,WHO也曾采用粘液表皮样瘤的名称，但以后许多学者认为这种命名分类并不恰当，认为此肿瘤全部为恶性,应称为粘液表皮样癌，并根据癌细胞分化程度的高低和生物学行为，将其分为低度恶性和高度恶性粘液表皮样癌,WHO1990年修订的涎腺肿瘤的命名及分类已采用这种分类方法。虽然“粘液表皮样”一词并不完全合适，但基本上反映了肿瘤的主要成分为粘液样细胞和表皮样细胞,粘液表皮样癌来源于腺管的上皮细胞。",粘液表皮样癌(粘液表皮样肿瘤)
牙齿异常,口,"骨科,外科","    造釉细胞瘤是最常见的颌骨牙源性上皮来源肿瘤,约占该类肿瘤的80%。造釉细胞瘤为良性但具有局部侵袭性的多形性肿瘤，其组织来源包括造釉器或牙板上皮,牙源性囊肿的上皮衬里、口腔黏膜上皮基底层。按照世界卫生组织及国内的常用分类,通常可将造釉细胞瘤分为五种类型，即：滤泡型、丛状型,颗粒细胞型、鳞状化生型和基底细胞型。",颌骨造釉细胞瘤(造釉细胞瘤)
视力障碍|出汗异常|昏迷|癫痫和癫痫样发作|步态异常,腹部,"肝胆外科,内分泌科","    胰岛素瘤（lusulinoma）为胰岛B细胞肿瘤,亦称内源性高胰岛素血症，占胰岛细胞肿瘤的70～75%。大多数为良性,恶性者占10～16%。Nicholis于1902年首先在尸检中发现胰岛素瘤。临床表现为胰岛素过多或低血糖综合征；1920年Roscose Graham首先用切除胰岛素瘤治疗“自发性低血糖”获得成功,本病的确切发病率不很清楚，国外一些作者报道，其发病率占1/800～1/1000,Mayo医院的材料为1/234；我国文献报道已超过500例。胰岛素瘤可发生于任何年龄，但多见于青,中年，约74.6%的病人发生于20～59岁。男性多于女性,男女之比为1.4～2.1。",胰岛素瘤(内源性高胰岛素血症)
视力障碍,头部,肿瘤科,"    枕叶较小,单纯发生在枕叶的肿瘤亦较少。枕叶肿瘤常同时累及顶叶和颞叶后部。多见肿瘤为胶质瘤,约占颅内胶质瘤的1.46％；脑膜瘤约占颅内脑膜瘤的0.74％；其它肿瘤更少见。从生理功能上讲，枕叶是最高级的视觉分析器,即所谓的“视觉中枢”。枕叶肿瘤所致之主要临床表现为视觉方面的障碍。",枕叶肿瘤
腹痛|腹部肿块,腹部,"肝胆外科,外科","    胰腺囊腺癌（Pancreatic cystadenocarcinoma）也属于胰腺的增生性囊肿,可从胰腺囊腺瘤恶变而来。本病在临床上十分罕见，仅占胰腺恶性肿瘤的1％,有关胰腺囊腺癌的最早文献报道分别见于1911年Kaufman和1834年Lichenstem各自在德、美杂志上的报告。1963年,Cullen在Mayo医院所有的240万份在住院病历中，共发现资料完整、可以确诊的胰腺囊腺癌17例,截止1984年，Segessen统计在世界各国医学文献中报道的胰腺囊腺癌仅100余例，我国均为散在的个案或少数的病例报告",胰腺囊腺癌
身痛,生殖部位,肿瘤科,"    阴道的恶性肿瘤常常是继发性的,可自子宫颈癌直接蔓延，或来自子宫内膜癌，卵巢癌及绒毛膜癌,另外膀胱、尿道或直肠癌亦常可转移至阴道。原发性阴道恶性肿瘤很罕见,约占女性生殖器官恶性肿瘤的1％。主要是鳞状上皮癌，毛膜上皮癌,其他如腺癌，肉瘤及恶性黑色素瘤更为罕见，不少妇产科医生在医疗实践中,只见过仅有的几例病人，因阴道的继发性癌则较多见，在诊断原发性肿瘤前应考虑及排除继发性阴道癌的可能性",阴道恶性肿瘤
发热|身痛,全身,肿瘤科,"    中心性软骨肉瘤是肉瘤,其细胞倾向于向软骨分化。分为：中心性软骨肉瘤;周围性软骨肉瘤;骨膜性软骨肉瘤。治疗仅是手术治疗,有相当高的治愈率，放疗、化疗对软骨肉瘤无效,由于软骨肉瘤生长缓慢，在原发肿瘤切除10多年以后仍可发生局部复发和转移。",中心性软骨肉瘤
结节|囊肿,全身,"外科,肿瘤科","硬纤维瘤也称韧带样瘤,是一种少见的良性肌腱膜过度增生，据估计每年在百万人口中发生3.7例新病例。它发生于肌肉,腱膜和深筋膜等处，十分坚硬。本病可发生于全身各处,多见于腹壁，也可发生于腹内及骨骼肌内。硬纤维瘤多发生于30～50岁,以女性多见。也可见于青少年。",硬纤维瘤(韧带样瘤)
