symptoms,body_part,clinic_department,description,medicine_name
言语障碍|感觉障碍|食欲异常|脱水,胸部,"呼吸内科,传染科","    老年肺炎常缺乏明显呼吸系症状,症状多不典型，病性进展快，易发生漏诊,错诊。据文献报道，病理证实为肺炎但临床未能诊断的“漏诊率”为3.3%-61.4%；而临床诊断为肺炎但无相应病理所见的“错诊率”为10.8%-39.3%",老年肺炎
胸痛|腹水|腹痛,腹部,传染科,"    成虫虫体较大,吸盘发达，吸附力强，造成的肠机械性损伤较其他肠道吸虫明显,数量多时还可覆盖肠壁，妨碍吸收与消化，其代谢产物被吸收后可引起变态反应,被吸附的粘膜可发生炎症、出血、水肿,坏死、脱落以至溃疡。病变部位中性粒细胞,淋巴细胞和嗜酸性粒细胞浸润，肠粘膜分泌增加。虫数多时常出现腹痛和腹泻,营养不良，消化功能紊乱，白蛋白减少,各种维生素缺乏；还可有腹泻与便秘交替出现，甚至肠梗阻。严重感染的儿童可有消瘦,贫血、浮肿、腹水,智力减退、发育障碍等。在反复感染的病例,少数可因衰竭、虚脱而致死。",姜片虫病
淋巴结肿大|发热|咽部异物感|脓疱|溃疡|囊肿,颈部,"外科,内分泌科","    颈淋巴结结核中医称为“瘰疬”,多见于儿童和青年人。结核杆菌大多经扁桃体、龋齿侵入,少数继发于肺或支气管的结核病变。但只有在人体抗病能力低下时，才能引起发病,病期常为1～3月或更长。呈多颗淋巴结肿大、散在性,可推动。随疾病发展可融合成团块、固定,不能推动，最后干酪样坏死，形成寒性脓肿,破溃后形成慢性窦道。胸部X光片可能显示结核病灶。","颈部淋巴结结核(结核病,结核病)"
发热|腹泻|咳嗽|咳痰|恶心与呕吐|胸痛,腹部,"呼吸内科,传染科","是由嗜肺军团菌（革兰氏阴性杆菌）引起的肺部感染,轻型仅有流感样症状，重者形成肺炎，常伴有肺外症状又称军团菌病","军团病肺炎(军团菌病,军团肺)"
 听力减退|耳鸣|耳痛,耳,"外科,耳鼻喉科","    自1882年发现结核杆菌之后,中耳结核才得以确诊。多继发于肺结核病，发病率19世纪初为13％,近20年来由于有效的抗痨药物的问世，肺结核发病率已明显降低，结核性中耳乳突炎现已很少见到,国内报道最多者为王鹏万1956年41例。",结核性中耳乳突炎
发热|紫绀|头痛|呼吸异常|恶心与呕吐,全身,传染科,"    柯萨奇病毒和埃可病毒经口侵入,继而入血，分布于多种器官引起多种不同的临床表现。同一种病毒可引起不同临床表现,而同一临床表现可由不同病毒所致。本病遍及世界各地，多散发,夏秋发病率高。传染源为患者、隐性感染及带毒者,显性及隐性感染比例达1∶50～100。日常生活接触经口感染是主要传播途径。亦可通过饮水,食物及呼吸道传播和经胎盘由母体传给胎儿。",柯萨奇病毒和埃可病毒感染
发热|头痛|腹泻|咳嗽|恶心与呕吐,胸部,"呼吸内科,传染科","    军团病（Legionnaires disease）是嗜肺军团杆菌所致的急性呼吸道传染病,1976年美国费城召开退伍军人大会时暴发流行而得名。病原菌主要来自土壤和污水，由空气传播,自呼吸道侵入。临床上分为两种类型：一种以发热、咳嗽和肺部炎症为主的肺炎型和以散发为主,病情较轻，仅表现为发热、头痛,肌痛等，而无肺部炎症的非肺炎型，又称庞提阿克热(Pontiac fever),我国自1982年以来南京、北京等地相继报告有本病出现。",军团病(庞提阿克热)
头痛|咳嗽|咳痰|啰音|胸痛,胸部,"呼吸内科,传染科","    支原体肺炎是肺炎支原体（mycoplasma pneumoniae）引起的急性呼吸道感染伴肺炎,过去称为“原发性非典型肺炎”的病原体中，肺炎支原体最为常见。可引起流行,约占各种肺炎的10％，严重的支原体肺炎也可导致死亡。",支原体肺炎(肺炎支原体肺炎)
视力障碍|红眼|发热|角膜混浊|眼痛,眼,"五官科,眼科","    是位于层内的炎症,属非溃疡性的深层角膜炎。",基质性角膜炎(基质性角膜炎)
发热|食欲异常|咳嗽|恶心与呕吐,腹部,"内科,消化内科","    似蚓蛔线虫（Ascaris lumbricoides Linnaeus,1758）简称蛔虫，是人体内最常见的寄生虫之一。成虫寄生于小肠,可引起蛔虫病（Ascariasis）。此外，犬弓首线虫（Toxocara canis,简称犬蛔虫）是犬类常见的肠道寄生虫，其幼虫能在人体内移行，引起内脏幼虫移行症（visceral larva migrans,VLM）。",蛔虫病
出汗异常|头痛|昏迷|食欲异常|呼吸异常|恶心与呕吐,全身,传染科,"    狂犬病（rabies）乃狂犬病病毒所致的急性传染病,人畜共患，多见于犬、狼,猫等肉食动物，人多因病兽咬伤而感染。临床表现为特有的恐水怕风,咽肌痉挛、进行性瘫痪等。恐水症状比较突出,故本病又名恐水症（hydrophobia）。",狂犬病(恐水症)
发热|脓疱|囊肿|感觉障碍,全身,传染科,"    绿脓假单胞菌(以下简称绿脓杆菌)是一种革兰氏阴性的能活动的杆菌,它是一种机会性病原菌,常可引起医院内获得的感染.",假单胞菌感染
发热|斑疹|丘疹|头痛|眩晕|腰背痛,全身,传染科,"    一种少见的由五日热巴尔通体引起的虱传热病,主要见于第一次和第二次世界大战军队中。","战壕热(五日热,华伦热)"
咽痛|口腔痛|脓疱|溃疡,口,"口腔科,传染科","    口腔粘膜感染结核杆菌后的临床表现为溃疡,通常多见于开放性肺结核患者。患者痰中的结核杆菌往往通过由龋齿、残根或其他因素所形成的粘膜创伤而进入组织,也可通过淋巴管将鼻咽部结核菌传播至口唇部皮肤。本病多见于成年人。",结核性溃疡
发热|呼吸异常,全身,"儿科,传染科","    支原体（mycoplasma）是细胞外生存的最小微生物,是一类缺乏细胞壁的原核细胞型微生物，大小一般在0.3-0.5um之间，呈高度多形性,有球形、杆形、丝状,分枝状等多种形态。它不同于细胞，也不同于病毒,种类繁多、分布广泛、造成的危害相当大,涉及人、动物、植物及昆虫等多个领域,给人类健康和科研工作带来不利影响。从人体分离的16种支原体中，5种对人有致病性,即肺炎支原体（M.pneumoniae）、解脲支原体（Ureaplasma urealyticum）、人型支原体（M.homins）,生殖支原体（M.genitalium）及发酵支原体（M.fermentans）。脲解支原体属（ureaplasma）含脲解支原体等体、脲解支原体及人型支原体等对人有致病性,肺炎支原体是呼吸道感染、肺炎的主要原因。脲解支原体,人型支原体则引起泌尿生殖道感染。",支原体感染
淋巴结肿大|发热|肝肿大|脾肿大,全身,"儿科,传染科","    巨细胞包涵体感染是由巨细胞病毒（cytomegalovirus,CMV）引起的先天性或后天性感染，有两种类型，多数成为唾液腺的不显性感染或慢性感染而长期存留,另一种是全身性疾病，称巨细胞包涵体病（cytomegalic inclusion disease），比较少见,主要侵犯小婴儿，其特点是在很多器官组织内发现含核内和胞浆内包涵体的巨大细胞，并伴有全身症状,是宫内病毒感染导致胎儿畸形的重要原因之一。",巨细胞病毒感染症(巨细胞包涵体病)
丘疹|脓疱|结节,下肢,传染科,"    足菌肿（mycetoma）系皮肤和皮下组织的一种慢性化脓性肉芽肿性疾病,伴有瘘管形成和流出带有颗粒的脓液，由多种致病菌引起。本病好发于热带,潮湿和多雨的地区和季节，亚洲的印度，非洲的苏丹及中美洲的墨西哥最为多见,我国亦有报告。患者男多于女，中年最多,赤足的劳动人民最易感染。",足菌肿
发热|脓疱,全身,传染科,"    厌氧菌感染近年来已受到外科医师的重视,在外科感染中厌氧菌的检出率至少在50％以上。根据中山医院的资料，厌氧菌在腹部感染中的检出率为60．67％,在阑尾脓肿、阑尾切除术后切口化脓中占70．58％。厌氧菌不仅可引起严重的胸腹部感染和脓肿,而且很多严重的软组织坏死性感染几乎都与厌氧菌有关。",厌氧菌感染
视力障碍|发热|头痛|昏迷|言语障碍|脑膜刺激征|瘫痪|恶心与呕吐,头部,"脑外科,神经内科","    感染中毒性脑病亦称急性中毒性脑炎,系急性感染毒素引起的一种脑部中毒性反应。 多见于2～10岁儿童，婴儿期少见",急性中毒性脑炎(感染中毒性脑病)
发热|头痛|昏迷,全身,传染科,"    隐球菌病（cryptococcosis）是由新型隐球菌感染所引起的亚急性或慢性深部真菌病,主要侵犯中枢神经系统和肺，但亦可侵犯骨髓、皮肤,粘膜和其他内脏。",隐球菌病
发热|头痛|晕厥|昏迷|眼球运动障碍,眼,"五官科,眼科","    眶内软组织或骨膜下的急性化脓性炎症,常有向颅内蔓延的趋势，引起永久性视力丧失或海绵窦血栓或化脓性脑膜炎而危及生命。",急性眼眶蜂窝织炎
腹泻|恶心与呕吐|腹痛,腹部,"消化内科,传染科","隐孢子虫病是由一种叫微小隐孢子虫 ( Cryptosporidium parvum ) 所引起的传染病,而其他品种的隐孢子虫亦偶然会引起此病。病征通常于感染后7天左右出现，包括腹痛,水泻、呕吐及发热。大部份患者的病征持续6至10天,但亦有可能会持续数星期。免疫系统有问题的患者如受感染，病情可能非常严重,甚至威胁生命。",隐孢子虫病
发热|咽痛|头痛|昏迷|恶心与呕吐,全身,传染科,"    自由生活阿米巴引起的感染包括以福勒尔-耐格里(Naegleria fowleri)原虫为主要病原的原发性阿米巴性脑膜脑炎(primary amebic mebubgo-encepha-litis),棘阿米巴原虫(Acanthamoeba)所引起的肉芽肿性阿米巴脑炎(Granulomatous amebic encephalitis)和角膜炎(keratitis)三种形式。在健康人中，常因使用隐形眼镜(尤其是游泳时佩带接目镜)而引起眼部感染,如虹膜炎、角膜炎等。早期以流泪,异物感为主要症状，基质浸润斑、上皮细胞受累的树枝状病损而无明显角膜溃疡形成为特征,晚期以角膜环状浸润为特征。角膜搔刮物或活检病理检查或培养可找到阿米巴原虫。本病在国内仅见个别报道,但应引起重视。",自由生活阿米巴感染
发热|溃疡|咳嗽|肝肿大|脾肿大,全身,传染科,"    一种由组织胞浆菌引起的疾病,可引起原发性肺部病变和经血流播散.",组织胞浆菌病
咳嗽|咳痰|啰音|急性呼吸窘迫综合征,胸部,"呼吸内科,传染科","    肺炎衣原体（chlamydia pneumoniae）为新发现的一种衣原体,主要引起呼吸道和肺部感染。1986年Grayeton等在学生急性呼吸道感染中，发现一种衣原体,以后于成人呼吸道疾病中亦被发现，当时命名为鹦鹉热衣原体TWAR-TW株，后经研究证明该衣原体为一新种,并定名为肺炎衣原体。","衣原体肺炎(沙眼衣原体肺炎,鹦鹉热衣原体肺炎,肺炎衣原体肺炎)"
淋巴结肿大|休克,全身,传染科,"    医院内感染（nosocomial infections）为病人在住院期间发生的感染,住院前获得的感染、住院时正值潜伏期或于住院后发病者不能作为医院内感染；反之，住院期内获得的感染,出院后才发病者，应作医院内感染计。新生儿通过产道时发生的感染,如B组链球菌感染，为医院内感染；经胎盘传播的胎儿感染，如先天性梅毒,风疹、巨细胞病毒感染、单纯疱疹,弓形体病等皆属院外感染。住院时已存在的感染在住院期间有所扩展或发生并发症者皆不能视为医院内感染，除非其病原菌有所改变,住院时已有的感染，根据流行病学资料说明此感染与以前的住院有关，此种情况应作医院内感染计,潜伏期不明的感染和发生于住院后48～72h内者，应视为院内感染，除非流行病学和临床资料能说明此感染系在院外获得者",医院内感染(院内感染)
