symptoms,body_part,clinic_department,description,medicine_name
疲劳|消瘦|其他症状,生殖部位,"泌尿外科,男科","    遗精是指不因性交而精液自行泄出的病症,有生理性与病理性的不同。中医将精液自遗现象称遗精或失精。有梦而遗者名为""梦遗"",无梦而遗，甚至清醒时精液自行滑出者为""滑精""。多由肾虚精关不固,或心肾不交，或湿热下注所致。西医可见于包茎,包皮过长、尿道炎,前列腺疾患等。有梦而遗往往是清醒滑精的初起阶段，梦遗,滑精是遗精轻重不同的两种证候。需要指出的是，遗精不是月经,所以遗精是没有规律可言的。以前有遗精，现在消失了,也是很正常的事情。尤其是男性进入中年，几乎就不再发生了","遗精(失精,梦遗)"
男性不育|其他症状,男性股沟,男科,"    死精症是指精子成活率减少,死精子超过40%者，本病为男子不育原因之一。",死精症
null,,"妇产科,男科","    性厌恶（sexual aversion disorders）是患者对性活动或性活动思想的一种持续性憎恶反应,想到会与伴侣发生性关系，就产生强烈的负性情绪，由于极度的恐惧或焦虑,个体会回避性活动。男女均可罹患，但以女性为多",性厌恶
其他症状,男性股沟,"外科,男科","    男性生殖器畸形包括很多,有的先天性畸形只影响生育力，如单纯性输精管缺如;而有的还可能影响到性功能。有些畸形看上去并不严重,如包茎，但处理不当同样能造成严重后果。",男性生殖器畸形
男性不育,生殖部位,男科,"    阳痿是指男性在性生活时,阴茎不能勃起或勃起不坚或坚而不久，不能完成正常性生活，或阴茎根本无法插入阴道进行性交,阳痿又称“阳事不举”等，是最常见的男子性功能障碍性疾病,偶尔1~2次性交失败，不能认为就是患了阳痿。只有在性交失败率超过25%时才能诊断为阳痿,据国外有关资料统计，阳痿患者约占全部男性性功能障碍的37%~42%。国内有关调查表明,在成年男性中约有10%的人发生阳痿。阳痿的发生率随年龄的增长而上升。男性在50岁以后,不少人会阳痿，到了65~70岁时阳痿的发生进入高峰。但也因人而异,并非绝对。",阳痿(勃起功能障碍)
尿频伴尿急和尿痛|其他症状,男性股沟,男科,"    精囊炎是由大肠杆菌等引起邻近器官前列腺等有感染或任何情况下导致前列腺,精囊充血时，细菌侵及精囊，诱发的炎症,从而引起以血精为主要临床表现的疾病。",精囊炎
其他症状,男性股沟,男科,"    睾丸炎是由各种致病因素引起的睾丸炎性病变,可分为非特异性、病毒性、霉菌性,螺旋体性、寄生虫性、损伤性,化学性等类型。",睾丸炎
尿频伴尿急和尿痛|排尿困难及尿潴留|尿失禁与遗尿,生殖部位,"肾内科,男科","    良性前列腺增生(BPH)主要是由于老年人性激素代谢障碍导致的不同程度腺体和(或)纤维,肌肉组织增生而造成前列腺体积增大，正常结构破坏并引起一系列功能障碍的疾病。",良性前列腺增生
男子性功能障碍|男性不育|男性乳房发育症|性幼稚病,男性股沟,男科,"    阴茎短小是一种不正常的现象,是指成年男子阴茎在常温常态条件下，其长度与周径小于正常男子的平均值，关键是影响正常的性生活,对于普通男性来说，如果阴茎勃起以后，可以进行性生活,就不属于阴茎短小。",小阴茎
男性不育,生殖部位,男科,"    早泄是指阴茎插入阴道后,在女性尚未达到性高潮，而男性的性交时间短于2分钟，提早射精而出现的性交不和谐障碍,一般男性30%均有此情况，问题虽小，但却使性生活质量不高,也可能引起阳痿等其他性功能障碍,后果严重，应引起重视和及早治疗。一般认为,早泄是指男子在阴茎勃起之后，未进入阴道之前，或正当纳入,以及刚刚进入而尚未抽动时便已射精，阴茎也自然随之疲软并进入不应期的现象。临床上对阴茎勃起未进入阴道即射精,诊断为早泄。而能进入阴道进行性交者，如果没有动几下就很快射精,也定义为早泄。",早泄
