symptoms,body_part,clinic_department,description,medicine_name
发热|鼻溢液,鼻,耳鼻喉科,"　　变态反应性鼻炎简称变应性鼻炎,一般又称过敏性鼻炎，是发生在鼻粘膜的变态反应，也是呼吸道变态反应常见的表现形式,有时和支气管哮喘同时存在。本病发病率在近20年有显著增加趋热，在发达国家尤为如此,发病年龄以青壮年为主，但现在发现儿童患者也较常见。虽然发病率在性别上无显著差异,但女性激素可加重变态反应。","过敏性鼻炎(变态反应性鼻炎,变应性鼻炎)"
耳鸣,耳,"五官科,耳鼻喉科","    一般认为语言频率(0.5,1.2Hz)平均听阈在26dB以上，即有听力障碍，听力损失在70dB以内者称重听,在70dB以上者为聋，临床上习惯统称为聋(deafness)。","耳聋(聋,听力障碍,重听)"
耳痛|耳溢液|脓疱,耳,"外科,耳鼻喉科","    耳廓软骨膜炎（auricular perichondritis）可分为浆液性和化脓性两种,病变是在软骨和软骨膜间有血清渗出（浆液性）或脓液形成（化脓性）。",化脓性耳廓软骨膜炎
耳痛|耳溢液|脓疱|溃疡,耳,"外科,耳鼻喉科","    脓肿(abscess)是指由于金黄色葡萄球菌侵入组织或血管内使组织坏死,液化，形成脓液积聚的急性化脓性感染。",耳后骨膜下脓肿(耳后骨膜下化脓性感染)
发热|耳鸣|耳痛|耳溢液|头痛|眩晕|晕厥,头,"内科,耳鼻喉科","    耳源性脑膜炎（otogenic meningitis）是急性或慢性化脓性中耳乳突炎所并发的软脑膜,蛛网膜急性化脓性炎症。",耳源性脑膜炎
听力减退|耳鸣|耳痛|耳溢液|头痛|眩晕,耳,"外科,耳鼻喉科","    大疱性鼓膜炎（myringitis bullosa）又称(出血性大疱性鼓膜炎)(myringitis bullosa hemorrhagic),是鼓膜及其邻近外耳道的急性炎症，多为单侧性。",大疱性鼓膜炎(出血性大疱性鼓膜炎)
耳鸣|耳痛|眩晕,头部,"五官科,耳鼻喉科","    外耳道软骨部皮肤具有耵聍腺,分泌淡黄色粘稠液体，称耵聍。有的耵聍状如粘液,俗称“油耳”。正常情况下耵聍可借咀嚼、张口等下颌运动以薄片形式自行排出,若耵聍逐渐凝聚成团，阻塞外耳道，称耵聍栓塞（impacted cerumen）",耵聍栓塞
头痛|神经痛,鼻,"外科,肿瘤科","　　蝶窦恶性肿瘤临床少见,据Godtfiedson（1947）分析218例鼻窦恶性肿瘤，以发生于上颌窦者最多，占86.7％,筛窦占43.6％，蝶窦占2.3 ％。蝶窦恶性肿瘤分原发和继发两种,继发于远处器官转移的有前裂腺癌、骨髓瘤、甲状腺癌,甲状腺癌、肺癌、肝癌,乳腺癌、肾癌等。由邻近器官肿瘤侵入者,主要有鼻腔中的鼻窦、鼻咽和蝶鞍部肿瘤。Barrs（1974）认为蝶窦转移肿瘤,远处转移多于邻近器官转移。",蝶窦恶性肿瘤
听力减退|耳鸣|耳痛|耳溢液|头痛|眩晕|恶心与呕吐,耳,"外伤科,外科",    鼓膜外伤（injury of tympanic membrane）常因直接或间接的外力作用所致,鼓膜外伤(鼓膜外伤)
贫血|淋巴结肿大|溃疡|晕厥|消瘦|恶心与呕吐|身痛,耳,"肿瘤科,耳鼻喉科","    中耳癌（carcinoma of middle ear）较少见,可原发于中耳，或继发于外耳道或鼻咽部等外，大多数有慢性中耳炎的病史,外耳道乳头状瘤恶变也常侵入中耳。以鳞状细胞为多见，肉瘤较少,好发年龄为40~60岁。",中耳癌
发热|头痛|眩晕|其他症状,头,"脑外科,外科","    耳内脑膜脑疝是指多种原因引起鼓室乳突部骨质缺损,使脑膜脑实质疝入鼓室或乳突腔内。",耳内脑膜脑疝
听力减退|耳鸣|耳痛|头痛|眩晕,耳,"外科,耳鼻喉科","    噪声性耳聋是由于长期遭受噪声刺激所引起的一种缓慢性,进行性的感音神经性耳聋。",噪声性耳聋
脓疱|溃疡|囊肿|消瘦|身痛,鼻,"外科,五官科","    颌骨骨髓炎可分为化脓性,特异性、放射性等几种。临床上以化脓性颌骨骨髓炎最为多见",颌骨骨髓炎(颌骨骨髓炎)
听力减退,耳,"外科,耳鼻喉科","    鼓室硬化亦称鼓室玻璃变性,系鼓室粘膜上皮下沉积有斑块状胶原组织，多发生在鼓膜室粘膜和听骨上，发生于鼓膜上者仍称为钙化斑,使鼓室粘膜变成乳皮样物质，覆盖着听骨、卵圆窗和圆窗周围,与骨质粘着，好像涂上一层包膜，累及上鼓室者较重,累及下鼓室者较轻，锤骨、砧骨,镫骨及肌腱等处最易受累，因此造成耳聋者甚多。此症18世纪即被Cassebohm发现,但未引起重视，直到近代（1955年）进行大量显微耳科手术后始被临床关注。",鼓室硬化症(鼓室玻璃变性)
吞咽困难|咽部异物感|呼吸异常,口,"外科,肿瘤科","    乳头状瘤为咽部较常见的良性肿瘤,可能与病毒感染有关，系皮肤或粘膜上皮及其下结缔组织向表面呈乳头状突起所形成。乳头呈圆形或椭圆形上皮团块,中心有疏松而富有脉管的结缔组织。多为扁平细胞型乳头状瘤。",咽部乳头状瘤
吞咽困难|鼻溢液|咽部异物感|呼吸异常|恶心与呕吐,口,"外科,肿瘤科","    畸胎瘤为发源于胚胎多胚层组织的肿瘤,发生于咽部者少见，且多位于鼻咽部，女性多于男性,为良性肿瘤。",咽畸胎瘤
吞咽困难|咽部异物感|呼吸异常,口,"外科,耳鼻喉科","为软腭,咽弓后咽后壁之间的疤痕粘连，使鼻咽与口咽之间的正常通道变小、狭窄或闭锁,鼻咽狭窄常为疤痕组织引起，病人有基本的解剖结构，常为外伤,腐蚀伤、特殊性感染如梅毒、麻风,硬结等病而引起，施行腺样体切除术时，损伤粘膜过多,也可发生瘢痕性狭窄，先天性者少见。鼻咽闭锁多为先天性发育异常,常和后鼻孔闭锁同时存在，后天性者少见。",咽部瘢痕狭窄
鼻溢液,鼻,耳鼻喉科,"　　过强反射性鼻炎（hyperreflectory rhinitis）是由于鼻内局部感觉神经轴突反射过强引起的一种高反应性鼻病,以往将其并入血管运动性鼻炎，属其中的“喷嚏型”。现随着对神经肽P物质的认识,人们始将本病列为一相对存在的鼻炎类型，Wolf（1988）将其称过过强反射性鼻病。",过强反射性鼻炎
无明显症状,头部,"五官科,耳鼻喉科","    咽异感症是最常见的症状,是咽部的异常感觉，如球塞感、瘙痒感,紧迫感、粘着感、烧灼感,蚁行感、无咽下困难的吞咽梗阻感等。还有部分病人有颈部不适感,紧迫感、自觉呼吸不畅以及咽喉部有物上下移动不定的感觉。患咽异感症者女性居多,精神类型多较敏感、多疑或抑郁。",咽异感症(梅核气)
听力减退|耳鸣|耳痛|耳溢液|溃疡,耳,"外科,肿瘤科","    （外耳及外耳道肿瘤）恶性肿瘤发生于外耳者较少见,国外统计发生于耳廓及其邻近结构的恶性肿瘤，约占全身皮肤恶性肿瘤的6％。Friedmann（1974）统计295例耳部恶性肿瘤,其中耳廓者58例（19％），外耳道158例（54％），中耳79例（72％）,外耳恶性肿瘤无论发生于耳廓或外耳道，均以鳞状细胞癌最常见。其次常见者,耳廓为基底细胞癌，外耳道为腺样囊性癌，其他恶性肿瘤如横纹肌肉瘤,恶性黑色素瘤均极少见。",耳部恶性肿瘤
发热|头痛,耳,"外科,耳鼻喉科","    中耳炎感染侵入硬脑膜下,使一部分蛛网膜和软脑膜坏死形成脓肿。此症不易局限化，很易扩散为弥漫脑膜炎而死亡,故临床上比较少见。",硬脑膜外和硬脑膜下脓肿(急性硬脑膜外及硬脑膜下化脓性感染)
听力减退,耳,"内科,耳鼻喉科","    粘连性中耳炎（adhesive otitis media）是中耳内纤维组织增生或瘢痕形成,是既往中耳炎症的结果。常于儿童时期发病。",粘连性中耳炎
